Jinghong,,,,Nuozhadu,,,,Dachaoshan,,,,Manwan,,,,Xiaowan,,,,Gongguoqiao,,,,Miaowei,,,,Dahuaqiao,,,,Huangdeng,,,,Wunonglong,,
Level ,Area ,Storage,,Level ,Area ,Storage,,Level ,Area ,Storage,,Level ,Area ,Storage,,Level ,Area ,Storage,,Level ,Area ,Storage,,Level ,Area ,Storage,,Level ,Area ,Storage,,Level ,Area ,Storage,,Level ,Area ,Storage
508,0.002,0.001,,586,0.009,0.005,,801,0.001,0,,870,0,0,,980,0.004,0.002,,1220,0.001,0,,1469,0.001,0,,1791,0.001,0,,1291,0.001,0,,1396,0.001,0
509,0.002,0.003,,588,0.018,0.032,,802,0.001,0.001,,871,0,0,,982,0.014,0.02,,1221,0.001,0.001,,1470,0.002,0.002,,1792,0.001,0.001,,1292,0.001,0.001,,1397,0.003,0.002
510,0.004,0.005,,590,0.032,0.08,,803,0.001,0.002,,872,0,0,,984,0.021,0.056,,1222,0.001,0.002,,1471,0.002,0.004,,1793,0.001,0.002,,1293,0.001,0.002,,1398,0.003,0.005
511,0.004,0.009,,592,0.047,0.163,,804,0.001,0.003,,873,0,0,,986,0.028,0.107,,1223,0.001,0.003,,1472,0.003,0.006,,1794,0.002,0.004,,1294,0.001,0.003,,1399,0.004,0.008
512,0.005,0.013,,594,0.08,0.289,,805,0.001,0.004,,874,0,0,,988,0.038,0.172,,1224,0.001,0.004,,1473,0.004,0.009,,1795,0.003,0.006,,1295,0.001,0.004,,1400,0.008,0.014
513,0.006,0.018,,596,0.136,0.497,,806,0.003,0.006,,875,0,0,,990,0.05,0.259,,1225,0.002,0.005,,1474,0.005,0.014,,1796,0.003,0.009,,1296,0.001,0.005,,1401,0.01,0.023
514,0.006,0.025,,598,0.199,0.823,,807,0.004,0.009,,876,0,0,,992,0.077,0.385,,1226,0.002,0.007,,1475,0.006,0.019,,1797,0.004,0.012,,1297,0.001,0.006,,1402,0.012,0.034
515,0.007,0.032,,600,0.308,1.323,,808,0.004,0.013,,877,0,0,,994,0.12,0.583,,1227,0.002,0.009,,1476,0.012,0.028,,1798,0.005,0.016,,1298,0.001,0.007,,1403,0.014,0.046
516,0.009,0.04,,602,0.449,2.074,,809,0.005,0.017,,878,0,0,,996,0.185,0.882,,1228,0.003,0.011,,1477,0.014,0.041,,1799,0.006,0.021,,1299,0.004,0.009,,1404,0.022,0.064
517,0.01,0.049,,604,0.633,3.155,,810,0.005,0.021,,879,0,0,,998,0.284,1.355,,1229,0.005,0.015,,1478,0.018,0.057,,1800,0.007,0.028,,1300,0.005,0.014,,1405,0.024,0.087
518,0.01,0.059,,606,0.869,4.651,,811,0.007,0.027,,880,0,0,,1000,0.454,2.081,,1230,0.005,0.02,,1479,0.024,0.078,,1801,0.01,0.037,,1301,0.01,0.021,,1406,0.032,0.115
519,0.014,0.071,,608,1.148,6.67,,812,0.009,0.035,,881,0,0,,1002,0.653,3.175,,1231,0.006,0.026,,1480,0.029,0.104,,1802,0.01,0.046,,1302,0.021,0.037,,1407,0.04,0.151
520,0.015,0.085,,610,1.463,9.284,,813,0.012,0.045,,882,0,0,,1004,0.889,4.696,,1232,0.009,0.033,,1481,0.04,0.139,,1803,0.01,0.056,,1303,0.024,0.059,,1408,0.056,0.199
